::1 - - [13/May/2025:14:22:14 +0000] "GET /api/v1/payment/qpay-invoice?status=paid HTTP/1.1" 200 1623 "-" "PostmanRuntime/7.43.4"
::1 - - [13/May/2025:14:23:54 +0000] "GET /api/v1/payment/qpay-invoice/fckyou/88346566 HTTP/1.1" 200 6230 "-" "PostmanRuntime/7.43.4"
::1 - - [13/May/2025:14:28:23 +0000] "GET /api/v1/user/info HTTP/1.1" 401 252 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:28:23 +0000] "GET /api/v1/user/info HTTP/1.1" 401 252 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:48:02 +0000] "GET /api/v1/user/info HTTP/1.1" 401 252 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:48:02 +0000] "GET /api/v1/user/info HTTP/1.1" 401 252 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:48:03 +0000] "GET /api/v1/department?type=hotel HTTP/1.1" 200 116 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:48:03 +0000] "GET /api/v1/department?type=hotel HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:48:19 +0000] "GET /api/v1/user/info HTTP/1.1" 401 252 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:48:19 +0000] "GET /api/v1/user/info HTTP/1.1" 401 252 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
::1 - - [13/May/2025:14:48:21 +0000] "GET /api/v1/department?type=food HTTP/1.1" 200 2097 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
